city,temp_c,temp_f,feelslike_c,humidity,wind_kph,pressure_mb,cloud,uv,condition,temp_category,humidity_level,wind_level,cloud_level,timestamp,record_no,temp_change,trend,avg_temp,max_temp,min_temp,condition_count,most_common_condition,alerts
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:33,36,0.0,Stable,22.29,23.3,22.0,35,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:39,37,-0.6,Decreasing,22.28,23.3,22.0,36,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:45,38,0.0,Stable,22.28,23.3,22.0,37,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:52,39,0.0,Stable,22.27,23.3,22.0,38,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:43:58,40,0.6,Increasing,22.28,23.3,22.0,39,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:44:04,41,0.0,Stable,22.29,23.3,22.0,40,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:44:10,42,0.0,Stable,22.29,23.3,22.0,41,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:44:17,43,0.0,Stable,22.3,23.3,22.0,42,Clear,No alert
Sharjah,22.0,71.6,24.6,60,33.5,1010.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:44:28,44,-0.6,Decreasing,22.29,23.3,22.0,43,Clear,No alert
Abu Dhabi,22.6,72.68,24.7,55,28.1,1011.0,0,0.0,Clear,Mild,Moderate,Moderate,Clear Sky,2026-03-29 20:44:41,45,0.6,Increasing,22.3,23.3,22.0,44,Clear,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:17,1,0,No previous data,25.9,25.9,25.9,1,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,2,0.0,Stable,25.9,25.9,25.9,2,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,3,0.0,Stable,25.9,25.9,25.9,3,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,4,0.0,Stable,25.9,25.9,25.9,4,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,5,0.0,Stable,25.9,25.9,25.9,5,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,6,0.0,Stable,25.9,25.9,25.9,6,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,7,0.0,Stable,25.9,25.9,25.9,7,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,8,0.0,Stable,25.9,25.9,25.9,8,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,9,0.0,Stable,25.9,25.9,25.9,9,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,10,0.0,Stable,25.9,25.9,25.9,10,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,73,ENE,E,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:04:18,11,0.0,Stable,25.9,25.9,25.9,11,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:09:46,1,0,No previous data,25.9,25.9,25.9,1,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:09:55,2,0.0,Stable,25.9,25.9,25.9,2,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:10:02,3,0.0,Stable,25.9,25.9,25.9,3,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:10:08,4,0.0,Stable,25.9,25.9,25.9,4,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:10:15,5,0.0,Stable,25.9,25.9,25.9,5,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:10:21,6,0.0,Stable,25.9,25.9,25.9,6,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:10:30,7,0.0,Stable,25.9,25.9,25.9,7,Partly Cloudy,No alert
Ajman,25.9,78.62,26.9,56,12.2,1011.0,50,0.0,Partly Cloudy,Warm,Moderate,Light,Partly Cloudy,2026-04-12 19:10:38,8,0.0,Stable,25.9,25.9,25.9,8,Partly Cloudy,No alert
